课程号,课程名称,学分,教师号,教师姓名,上课时间,上课地点,容量,人数,校区,选课限制,答疑时间,答疑地点
15575193,经济学(1),5,2002,计志英,一7-8 三5-6单 四7-8,"文达楼602,文博楼406,文达楼602",61,53,嘉定,,四3-4,文商楼409
15575193,经济学(1),5,2003,李文宏,二5-6 四3-4 五3-4双,"文博楼302,文博楼302,文达楼604",48,44,嘉定,,二7-8,文商楼412
15575193,经济学(1),5,2004,方楚怡,二3-4 四1-2 五1-2单 含国际生 全英文,"文达楼602,文博楼303,文博楼303",62,56,嘉定,,四5-6,文商楼406
15575193,经济学(1),5,2005,陈跃刚,一7-8 三7-8 五3-4单,"文博楼304,文博楼304,文达楼604",45,37,嘉定,,一5-6,文商楼303
15575193,经济学(1),5,2006,韦宏虹,一9-10 二5-6双 四1-2,"文博楼502,文达楼604,文达楼602",60,50,嘉定,,四5-6,文商楼412
15575194,经济学(2),4,2000,黄俐,一9-10 三9-10,,0,0,嘉定,人数已满,一7-8,
15575252,国际经济与贸易专业导论,1,2001,贾利军等,一9-10单,文博楼303,36,37,嘉定,人数已满,二3-4,文商楼404
15575252,国际经济与贸易专业导论,1,2002,陈军等,一9-10双 含国际生 全英文,文博楼303,35,39,嘉定,人数已满,五3-4,文商楼409
15575252,国际经济与贸易专业导论,1,2003,计志英等,五3-4单,文博楼306,35,28,嘉定,,四3-4,文商楼409
15575252,国际经济与贸易专业导论,1,2004,孙善侠,五3-4双,文博楼306,35,35,嘉定,人数已满,二3-4,文商楼408
15576091,国际金融学,4,2000,薛文骏,二5-6 四7-8 含国际生 全英文,"文博楼402,文达楼506",70,64,嘉定,,四3-4,文商楼406
15576238,股票交易分析,4,2000,孙覃玥,一1-2 三5-8 上机,"文达楼408,文德楼201",45,10,嘉定,,一3-4,文商楼406
15576240,时间序列分析,4,2000,孙覃玥,一3-4 五1-4 上机,不开,0,0,嘉定,"禁止选课,人数已满",一7-8,文商楼406
15576255,金融风险管理,4,2000,张倩,二3-4 四5-6 含国际生 全英文,文博楼303,47,47,嘉定,人数已满,二5-6,文商楼410
15576258,金融计量学,4,2000,薛文骏,二7-8 四5-6 含国际生 全英文,文博楼204,55,33,嘉定,,四3-4,文商楼406
15576286,城市与区域经济学,4,2000,汪健,二9-10 四9-10 含国际生 全英文,文博楼303,50,44,嘉定,,二7-8,文商楼414
15576288,行为金融学,4,2000,吴军,一5-6 五1-2 含国际生,"文博楼402,502",56,56,嘉定,人数已满,一7-8,文商楼410
15576296,中级微观经济学,4,2000,李瑜敏,二7-8 四5-6 含国际生 全英文,"文博楼303,文达楼602",55,54,嘉定,,四3-4,文商楼405
15576297,中级宏观经济学,4,2000,方楚怡,二1-2 四3-4,文达楼602,55,55,嘉定,人数已满,四5-6,文商楼406
15576299,经济学研究方法与前沿,4,2000,李瑜敏,二5-6 四7-8 上机 五1-2单,"文博楼207,文德楼203,文博楼206",40,17,嘉定,,四3-4,文商楼405
15576302,跨境电商理论与实践,4,2001,陈军,一3-4 三3-4,文达楼603,65,61,嘉定,,五3-4,文商楼409
15576302,跨境电商理论与实践,4,2002,陈军,一5-6 三5-6,"文达楼603,506",65,62,嘉定,,五3-4,文商楼409
15576319,国际财务管理,4,2001,陈婉怡,双学位上课时间另见学院安排 全英文,,60,22,嘉定,,三3-4,文商楼506
15576319,国际财务管理,4,2002,李玉博,一7-8 三7-8,文达楼506,70,67,嘉定,,三5-6,文商楼504
15576319,国际财务管理,4,2003,李晗,一11-12 三11-12 国际生 全英文,在线,20,16,嘉定,,三7-8,文商楼506
15576325,环境经济学,4,2000,孙善侠,二1-2 四1-2,文达楼605,29,26,嘉定,,二3-4,文商楼408
15579337,商业经济学,2,2000,Jaime Campos Gutierrez,二11-12 在线课程,在线,40,12,嘉定,,四3-4,文商楼405
1600RH01,哲学与人生,4,2000,黄圣平,一5-6 五3-4,2-105,40,32,嘉定,,一7-8,1-201
16583004,当代世界经济与政治,3,2001,杨超,一9-10 三9-10单,1-231,95,92,嘉定,,一7-8,1-201
16583004,当代世界经济与政治,3,2002,杨超,一11-12 三9-10双,1-231,95,94,嘉定,,一7-8,1-201
16583109,形势与政策,0,2001,潘哲初,"一9-10 (1周,6周)",1-333,90,89,嘉定,,四5-6,2-204
16583109,形势与政策,0,2002,潘哲初,"一9-10 (2周,7周)",1-333,97,95,嘉定,,四5-6,2-204
16583109,形势与政策,0,2003,潘哲初,"一9-10 (3周,8周)",1-333,90,90,嘉定,人数已满,四5-6,2-204
16583109,形势与政策,0,2004,潘哲初,"一11-12 (1周,6周)",1-333,99,99,嘉定,人数已满,四5-6,2-204
16583109,形势与政策,0,2005,潘哲初,"一11-12 (2周,7周)",1-333,90,92,嘉定,人数已满,四5-6,2-204
16583109,形势与政策,0,2006,潘哲初,"一11-12 (3周,8周)",1-333,90,66,嘉定,,四5-6,2-204
16583109,形势与政策,0,2007,韩晓春,"二9-10 (1周,6周)",1-331,90,85,嘉定,,一7-8,1-201
16583109,形势与政策,0,2008,韩晓春,"二9-10 (2周,7周)",1-331,91,85,嘉定,,一7-8,1-201
16583109,形势与政策,0,2009,韩晓春,"二9-10 (3周,8周)",1-331,90,87,嘉定,,一7-8,1-201
16583109,形势与政策,0,2010,韩晓春,"二11-12 (1周,6周)",1-331,90,90,嘉定,人数已满,一7-8,1-201
16583109,形势与政策,0,2011,韩晓春,"二11-12 (2周,7周)",1-331,90,71,嘉定,,一7-8,1-201
16583109,形势与政策,0,2012,韩晓春,"二11-12 (3周,8周)",1-331,90,33,嘉定,,一7-8,1-201
16583109,形势与政策,0,2013,潘哲初,"三9-10 (1周,6周)",1-333,90,54,嘉定,,四5-6,2-204
16583109,形势与政策,0,2014,潘哲初,"三9-10 (2周,7周)",1-333,90,18,嘉定,,四5-6,2-204
16583109,形势与政策,0,2015,潘哲初,"三11-12 (1周,6周)",1-333,90,90,嘉定,人数已满,四5-6,2-204
16583109,形势与政策,0,2016,潘哲初,"三11-12 (2周,7周)",1-333,90,88,嘉定,,四5-6,2-204
16583109,形势与政策,0,2017,韩晓春,"四9-10 (1周,6周)",1-331,90,82,嘉定,,一7-8,1-201
16583109,形势与政策,0,2018,韩晓春,"四9-10 (2周,7周)",1-331,90,36,嘉定,,一7-8,1-201
16584136,中国近现代史纲要B,3,2000,王金伟,二9-11,2-112,142,132,嘉定,,四9-10,1-222
16584153,思想道德与法治,3,2001,韩晓春,一9-10 三9-10单,1-331,102,101,嘉定,,一7-8,2-206
16584153,思想道德与法治,3,2002,韩晓春,一11-12 三9-10双,1-331,102,102,嘉定,人数已满,一7-8,2-206
16584168,马克思主义基本原理概论,3,2001,潘哲初,二9-10 四9-10单,1-333,111,111,嘉定,人数已满,四5-6,2-204
16584168,马克思主义基本原理概论,3,2002,潘哲初,二11-12 四9-10双,1-333,96,96,嘉定,人数已满,四5-6,2-204
16584169,毛泽东思想和中国特色社会主义理论体系概论(1),3,2000,王金伟,三9-11,2-112,114,115,嘉定,人数已满,四9-10,1-222
16584170,毛泽东思想和中国特色社会主义理论体系概论(2),2,2001,高立伟,四7-8,1-233,91,88,嘉定,,四5-6,1-201
16584170,毛泽东思想和中国特色社会主义理论体系概论(2),2,2002,高立伟,四9-10,1-233,120,108,嘉定,,四5-6,1-201
2200R201,消失的秘符——各国经典纹饰符号解析,2,2000,秦川,四7-8,不开,0,0,嘉定,"禁止选课,人数已满",四5-6,1-201
2200R602,演讲艺术,2,2000,吴笑,二10-11,1-233,90,90,嘉定,人数已满,二8-9,1-201
2200R606,绘画与生活,2,2000,初广彩,二7-8,1-233,100,100,嘉定,人数已满,二5-6,1-201
2200R607,美的玄思——文艺美学十讲,2,2000,朱洪举,四10-11,1-307,70,46,嘉定,,四8-9,1-201
2200R608,世界设计大观,2,2000,耿明松,四10-11,1-231,78,78,嘉定,人数已满,四5-6,1-201
2400J012,投资与理财,2,2000,顾方,一1-2,1-333,95,94,嘉定,,一3-4,1-201
2400L001,智慧城市与低碳智能交通,2,2000,卢超,四7-8,1-431,90,90,嘉定,人数已满,四5-6,1-201
3100R603,走进舞蹈艺术,3,2000,还国志,一9-11,1-301,90,38,嘉定,,一5-6,1-201
36055001,电路基础,4,2001,刘成,一7-8 三7-8,2-103,50,41,嘉定,,二7-8,微电子楼205
36055001,电路基础,4,2002,刘成,二5-6 五3-4,2-103,38,33,嘉定,,二7-8,微电子楼205
